unique_id,entity_prop,sentence_prop
ywhneo_rob_pelinka,1.0,0.3333333333333333
ywhucu_rob_pelinka,1.0,0.5
ywhxn3_rob_pelinka,1.0,0.5
ywjvly_rob_pelinka,1.0,0.5
ywzuzj_rob_pelinka,0.08333333333333333,0.06666666666666667
yy8ifg_rob_pelinka,1.0,0.5
yz5m3l_rob_pelinka,1.0,0.5
yzd0k4_rob_pelinka,1.0,0.3333333333333333
yzhk3r_rob_pelinka,0.25,0.14285714285714285
z07w1u_rob_pelinka,0.8,0.75
z1qjob_rob_pelinka,0.5,0.04895104895104895
z1vjw1_rob_pelinka,0.16666666666666666,0.16666666666666666
z2gbg1_rob_pelinka,0.25,0.2
z2glhe_rob_pelinka,0.16666666666666666,0.25
z2gyx0_rob_pelinka,0.14285714285714285,0.1
z2hd8b_rob_pelinka,0.25,0.2
z2kfpd_rob_pelinka,0.15,0.1875
z2t923_rob_pelinka,0.5,0.16666666666666666
z2uss7_rob_pelinka,0.3333333333333333,0.03333333333333333
z3u3mh_rob_pelinka,0.5,0.25
z473rn_rob_pelinka,1.0,0.25
z4qzha_rob_pelinka,0.5,0.5
z4yfhw_rob_pelinka,0.6923076923076923,0.35714285714285715
z57nk1_rob_pelinka,1.0,0.5
z59e4h_rob_pelinka,0.6666666666666666,0.4
z6fp9o_rob_pelinka,0.1,0.017857142857142856
z7goyu_rob_pelinka,1.0,0.07692307692307693
z7l98a_rob_pelinka,0.25,0.2
z8dh7e_rob_pelinka,0.02564102564102564,0.014925373134328358
z8ewv5_rob_pelinka,0.5,0.42857142857142855
z8wwc5_rob_pelinka,0.5,0.5
z9bnjz_rob_pelinka,0.07142857142857142,0.1111111111111111
zb7gwx_rob_pelinka,0.8,0.7142857142857143
zb8h0j_rob_pelinka,0.48484848484848486,0.25
zfhzms_rob_pelinka,0.5,0.2
zg1eoj_rob_pelinka,1.0,0.25
zhoxvs_rob_pelinka,0.1875,0.3333333333333333
zjomlf_rob_pelinka,0.09090909090909091,0.06666666666666667
zk74t3_rob_pelinka,1.0,0.25
zlj2e1_rob_pelinka,0.5,0.5
zlv1sw_rob_pelinka,0.5555555555555556,0.75
zlvdpr_rob_pelinka,1.0,0.5
zmqsql_rob_pelinka,0.5,0.25
zmsfvx_rob_pelinka,0.07692307692307693,0.11764705882352941
znwb80_rob_pelinka,1.0,0.3333333333333333
zo8358_rob_pelinka,0.5,0.5
zp5ovu_rob_pelinka,1.0,0.3333333333333333
zpbl3l_rob_pelinka,0.5,0.09090909090909091
zpjzyh_rob_pelinka,0.5,0.6666666666666666
zq7a19_rob_pelinka,0.3333333333333333,0.6666666666666666
zrsljk_rob_pelinka,0.2,0.125
zrstea_rob_pelinka,0.25,0.16666666666666666
zsbxrl_rob_pelinka,0.5,0.25
ztimss_rob_pelinka,0.5,0.3333333333333333
ztxx9y_rob_pelinka,0.04,0.07692307692307693
zu38pk_rob_pelinka,0.3333333333333333,0.2
zu4vv6_rob_pelinka,0.2,0.18181818181818182
zu5pap_rob_pelinka,0.16666666666666666,0.09090909090909091
zuk79i_rob_pelinka,1.0,0.3333333333333333
zulev3_rob_pelinka,1.0,0.5
zum0in_rob_pelinka,0.39622641509433965,0.4594594594594595
zum5pn_rob_pelinka,1.0,0.3333333333333333
zuvayf_rob_pelinka,0.3333333333333333,0.5
zv81iu_rob_pelinka,0.06666666666666667,0.07692307692307693
zv896p_rob_pelinka,1.0,0.5
zvszdg_rob_pelinka,0.07692307692307693,0.07142857142857142
zvx9jw_rob_pelinka,0.2,0.1111111111111111
zvylv5_rob_pelinka,0.5,0.2
zw0w4n_rob_pelinka,0.1111111111111111,0.047619047619047616
zw5o3q_rob_pelinka,0.3333333333333333,0.25
zwaddk_rob_pelinka,1.0,0.6666666666666666
zwqbtg_rob_pelinka,1.0,0.5
zx1koj_rob_pelinka,0.5,0.5
zxwfz2_rob_pelinka,0.1111111111111111,0.14285714285714285
zxx1x5_rob_pelinka,1.0,0.5
zxxd05_rob_pelinka,0.2,0.2
zy0tr2_rob_pelinka,0.3333333333333333,0.16666666666666666
zy7oox_rob_pelinka,0.1111111111111111,0.07692307692307693
zyb4aj_rob_pelinka,0.38461538461538464,0.23076923076923078
zydw1z_rob_pelinka,0.38461538461538464,0.6666666666666666
zz52ej_rob_pelinka,0.2857142857142857,0.16666666666666666
zzjp6t_rob_pelinka,0.25,0.16666666666666666
zzjpgo_rob_pelinka,0.3333333333333333,0.25
104lq6r_rob_pelinka,1.0,0.3333333333333333
106ex1y_rob_pelinka,1.0,0.25
106ymdm_rob_pelinka,0.25,0.25
108khxa_rob_pelinka,0.5,0.3333333333333333
10c01co_rob_pelinka,1.0,0.5
10d5jod_rob_pelinka,0.16666666666666666,0.16666666666666666
10e0ojd_rob_pelinka,0.5,0.3333333333333333
10fskev_rob_pelinka,1.0,0.5
10fv8yr_rob_pelinka,1.0,0.5
10ghrel_rob_pelinka,0.5,0.25
10gy4nz_rob_pelinka,0.25,0.25
10hk30r_rob_pelinka,1.0,0.5
10hlt7n_rob_pelinka,1.0,0.25
